,name,region,season,source,stat,val
0,2028-base,CZ,Y,nuclear,capacity_GW,4.099
1,2028-base,CZ,Y,solar,capacity_GW,7.0
2,2028-base,CZ,Y,onshore,capacity_GW,0.5
3,2028-base,CZ,Y,waste,capacity_GW,0.19575
4,2028-base,CZ,Y,gas_ccgt,capacity_GW,0.6174
5,2028-base,CZ,Y,gas_chp,capacity_GW,0.7644
6,2028-base,CZ,Y,biogas,capacity_GW,0.279
7,2028-base,CZ,Y,lig_sc,capacity_GW,0.4356
8,2028-base,CZ,Y,bio,capacity_GW,0.0
9,2028-base,CZ,Y,gas_eng_chp,capacity_GW,0.3313124999999999
10,2028-base,CZ,Y,lig,capacity_GW,0.9702
11,2028-base,CZ,Y,lig_ex,capacity_GW,1.6533000000000002
12,2028-base,CZ,Y,coal,capacity_GW,0.0
13,2028-base,CZ,Y,coal_ex,capacity_GW,0.11484
14,2028-base,CZ,Y,gas_peak,capacity_GW,0.096255
15,2028-base,CZ,Y,lig_old,capacity_GW,1.2011999999999998
16,2028-base,CZ,Y,b_CHP,capacity_GW,0.20925
17,2028-base,CZ,Y,lig_bp,capacity_GW,0.35838
18,2028-base,CZ,Y,coal_bp,capacity_GW,0.0
19,2028-base,CZ,Y,dsr,capacity_GW,0.0
20,2028-base,CZ,Y,h_ror,capacity_GW,0.415
21,2028-base,CZ,Y,h_dams,capacity_GW,0.609
22,2028-base,CZ,Y,li,capacity_GW,0.1
23,2028-base,CZ,Y,pump_open,capacity_GW,0.47
24,2028-base,CZ,Y,pump,capacity_GW,0.678
25,2028-base,CZ,Y,TOTAL,capacity_GW,21.0978875
26,2028-base,CZ,Y,h_ror,capacity_charging_GW,0.0
27,2028-base,CZ,Y,h_dams,capacity_charging_GW,0.0
28,2028-base,CZ,Y,li,capacity_charging_GW,1.25599
29,2028-base,CZ,Y,pump_open,capacity_charging_GW,0.44
30,2028-base,CZ,Y,pump,capacity_charging_GW,0.664
31,2028-base,CZ,Y,nuclear,capacity_paid_off_GW,0.0
32,2028-base,CZ,Y,solar,capacity_paid_off_GW,0.0
33,2028-base,CZ,Y,onshore,capacity_paid_off_GW,0.0
34,2028-base,CZ,Y,waste,capacity_paid_off_GW,0.0
35,2028-base,CZ,Y,gas_ccgt,capacity_paid_off_GW,0.0
36,2028-base,CZ,Y,gas_chp,capacity_paid_off_GW,0.0
37,2028-base,CZ,Y,biogas,capacity_paid_off_GW,0.0
38,2028-base,CZ,Y,lig_sc,capacity_paid_off_GW,0.0
39,2028-base,CZ,Y,bio,capacity_paid_off_GW,0.0
40,2028-base,CZ,Y,gas_eng_chp,capacity_paid_off_GW,0.0
41,2028-base,CZ,Y,lig,capacity_paid_off_GW,0.0
42,2028-base,CZ,Y,lig_ex,capacity_paid_off_GW,0.0
43,2028-base,CZ,Y,coal,capacity_paid_off_GW,0.0
44,2028-base,CZ,Y,coal_ex,capacity_paid_off_GW,0.0
45,2028-base,CZ,Y,gas_peak,capacity_paid_off_GW,0.0
46,2028-base,CZ,Y,lig_old,capacity_paid_off_GW,0.0
47,2028-base,CZ,Y,b_CHP,capacity_paid_off_GW,0.0
48,2028-base,CZ,Y,lig_bp,capacity_paid_off_GW,0.0
49,2028-base,CZ,Y,coal_bp,capacity_paid_off_GW,0.0
50,2028-base,CZ,Y,dsr,capacity_paid_off_GW,0.0
51,2028-base,CZ,Y,h_ror,capacity_paid_off_GW,0.0
52,2028-base,CZ,Y,h_dams,capacity_paid_off_GW,0.0
53,2028-base,CZ,Y,li,capacity_paid_off_GW,0.0
54,2028-base,CZ,Y,pump_open,capacity_paid_off_GW,0.0
55,2028-base,CZ,Y,pump,capacity_paid_off_GW,0.0
56,2028-base,CZ,Y,h_ror,capacity_charging_paid_off_GW,0.0
57,2028-base,CZ,Y,h_dams,capacity_charging_paid_off_GW,0.0
58,2028-base,CZ,Y,li,capacity_charging_paid_off_GW,0.0
59,2028-base,CZ,Y,pump_open,capacity_charging_paid_off_GW,0.0
60,2028-base,CZ,Y,pump,capacity_charging_paid_off_GW,0.0
61,2028-base,CZ,Y,TOTAL,load_TWh,67.306346938
62,2028-base,CZ,S,TOTAL,load_TWh,30.449230927
63,2028-base,CZ,W,TOTAL,load_TWh,36.857116011
64,2028-base,CZ,Y,TOTAL,import_TWh,14.38860804335674
65,2028-base,CZ,S,TOTAL,import_TWh,6.698907369725944
66,2028-base,CZ,W,TOTAL,import_TWh,7.689700673630798
67,2028-base,CZ,Y,TOTAL,export_TWh,3.548862156080142
68,2028-base,CZ,S,TOTAL,export_TWh,1.7136758442881557
69,2028-base,CZ,W,TOTAL,export_TWh,1.835186311791986
70,2028-base,CZ,Y,TOTAL,net_import_TWh,10.839745887276598
71,2028-base,CZ,S,TOTAL,net_import_TWh,4.985231525437788
72,2028-base,CZ,W,TOTAL,net_import_TWh,5.854514361838811
73,2028-base,CZ,Y,TOTAL,curtailment_TWh,0.0019098645858331
74,2028-base,CZ,S,TOTAL,curtailment_TWh,0.0017445117895748
75,2028-base,CZ,W,TOTAL,curtailment_TWh,0.0001653527962583
76,2028-base,CZ,Y,nuclear,production_TWh,28.59946136693848
77,2028-base,CZ,Y,solar,production_TWh,7.234982164081648
78,2028-base,CZ,Y,onshore,production_TWh,0.9852863804821038
79,2028-base,CZ,Y,waste,production_TWh,1.1431799999998489
80,2028-base,CZ,Y,gas_ccgt,production_TWh,4.701096208210768
81,2028-base,CZ,Y,gas_chp,production_TWh,3.197486372671145
82,2028-base,CZ,Y,biogas,production_TWh,0.8389403568664668
83,2028-base,CZ,Y,lig_sc,production_TWh,0.7961290078374885
84,2028-base,CZ,Y,bio,production_TWh,0.0
85,2028-base,CZ,Y,gas_eng_chp,production_TWh,1.547892000000082
86,2028-base,CZ,Y,lig,production_TWh,0.4639384739095275
87,2028-base,CZ,Y,lig_ex,production_TWh,3.386636578184884
88,2028-base,CZ,Y,coal,production_TWh,0.0
89,2028-base,CZ,Y,coal_ex,production_TWh,0.0331031386809523
90,2028-base,CZ,Y,gas_peak,production_TWh,0.0343215562630428
91,2028-base,CZ,Y,lig_old,production_TWh,0.0
92,2028-base,CZ,Y,b_CHP,production_TWh,4.4211548002850685e-20
93,2028-base,CZ,Y,lig_bp,production_TWh,1.674351360000015
94,2028-base,CZ,Y,coal_bp,production_TWh,0.0
95,2028-base,CZ,Y,dsr,production_TWh,0.0
96,2028-base,CZ,Y,eens,production_TWh,-5.1727511163335405e-19
97,2028-base,CZ,Y,h_ror,production_TWh,1.1870841839079247
98,2028-base,CZ,Y,h_dams,production_TWh,0.9952522857142858
99,2028-base,CZ,Y,li,production_TWh,0.0847618053972863
100,2028-base,CZ,Y,pump_open,production_TWh,0.3971742922582094
101,2028-base,CZ,Y,pump,production_TWh,0.5195484965494825
102,2028-base,CZ,Y,TOTAL,production_TWh,57.82062602795365
103,2028-base,CZ,S,nuclear,production_TWh,13.891069397825554
104,2028-base,CZ,S,solar,production_TWh,5.013587524685228
105,2028-base,CZ,S,onshore,production_TWh,0.3545079621748212
106,2028-base,CZ,S,waste,production_TWh,0.4178738592844915
107,2028-base,CZ,S,gas_ccgt,production_TWh,2.082335556252348
108,2028-base,CZ,S,gas_chp,production_TWh,0.6603491933992282
109,2028-base,CZ,S,biogas,production_TWh,0.1097063645868755
110,2028-base,CZ,S,lig_sc,production_TWh,0.0
111,2028-base,CZ,S,bio,production_TWh,0.0
112,2028-base,CZ,S,gas_eng_chp,production_TWh,0.6613757079000259
113,2028-base,CZ,S,lig,production_TWh,0.0
114,2028-base,CZ,S,lig_ex,production_TWh,1.0910343978744337
115,2028-base,CZ,S,coal,production_TWh,0.0
116,2028-base,CZ,S,coal_ex,production_TWh,4.102470744068602e-18
117,2028-base,CZ,S,gas_peak,production_TWh,0.0
118,2028-base,CZ,S,lig_old,production_TWh,0.0
119,2028-base,CZ,S,b_CHP,production_TWh,4.4211548002850685e-20
120,2028-base,CZ,S,lig_bp,production_TWh,0.3319526485835711
121,2028-base,CZ,S,coal_bp,production_TWh,0.0
122,2028-base,CZ,S,dsr,production_TWh,0.0
123,2028-base,CZ,S,eens,production_TWh,-6.87805368215778e-19
124,2028-base,CZ,S,h_ror,production_TWh,0.6068312958333334
125,2028-base,CZ,S,h_dams,production_TWh,0.4878960034268769
126,2028-base,CZ,S,li,production_TWh,0.0376706682965606
127,2028-base,CZ,S,pump_open,production_TWh,0.2574233583201489
128,2028-base,CZ,S,pump,production_TWh,0.348678052046732
129,2028-base,CZ,S,TOTAL,production_TWh,115.64125205590727
130,2028-base,CZ,W,nuclear,production_TWh,14.708391969112927
131,2028-base,CZ,W,solar,production_TWh,2.221394639396421
132,2028-base,CZ,W,onshore,production_TWh,0.6307784183072825
133,2028-base,CZ,W,waste,production_TWh,0.7253061407153569
134,2028-base,CZ,W,gas_ccgt,production_TWh,2.618760651958421
135,2028-base,CZ,W,gas_chp,production_TWh,2.5371371792719177
136,2028-base,CZ,W,biogas,production_TWh,0.7292339922795913
137,2028-base,CZ,W,lig_sc,production_TWh,0.7961290078374885
138,2028-base,CZ,W,bio,production_TWh,0.0
139,2028-base,CZ,W,gas_eng_chp,production_TWh,0.886516292100056
140,2028-base,CZ,W,lig,production_TWh,0.4639384739095275
141,2028-base,CZ,W,lig_ex,production_TWh,2.295602180310449
142,2028-base,CZ,W,coal,production_TWh,0.0
143,2028-base,CZ,W,coal_ex,production_TWh,0.0331031386809523
144,2028-base,CZ,W,gas_peak,production_TWh,0.0343215562630428
145,2028-base,CZ,W,lig_old,production_TWh,0.0
146,2028-base,CZ,W,b_CHP,production_TWh,0.0
147,2028-base,CZ,W,lig_bp,production_TWh,1.3423987114164442
148,2028-base,CZ,W,coal_bp,production_TWh,0.0
149,2028-base,CZ,W,dsr,production_TWh,0.0
150,2028-base,CZ,W,eens,production_TWh,1.7053025658242405e-19
151,2028-base,CZ,W,h_ror,production_TWh,0.5802528880745914
152,2028-base,CZ,W,h_dams,production_TWh,0.5073562822874088
153,2028-base,CZ,W,li,production_TWh,0.0470911371007257
154,2028-base,CZ,W,pump_open,production_TWh,0.1397509339380604
155,2028-base,CZ,W,pump,production_TWh,0.1708704445027504
156,2028-base,CZ,W,TOTAL,production_TWh,115.64125205590727
157,2028-base,CZ,Y,gas_chp,production_el_eq_TWh,3.571276799999862
158,2028-base,CZ,Y,gas_eng_chp,production_el_eq_TWh,1.547892000000082
159,2028-base,CZ,Y,lig_ex,production_el_eq_TWh,7.72421760000004
160,2028-base,CZ,Y,coal_ex,production_el_eq_TWh,0.066806747345238
161,2028-base,CZ,Y,b_CHP,production_el_eq_TWh,1.1052887000712672e-19
162,2028-base,CZ,Y,lig_bp,production_el_eq_TWh,1.674351360000015
163,2028-base,CZ,Y,coal_bp,production_el_eq_TWh,0.0
164,2028-base,CZ,Y,eens,production_el_eq_TWh,0.0
165,2028-base,CZ,S,gas_chp,production_el_eq_TWh,0.8626555981070226
166,2028-base,CZ,S,gas_eng_chp,production_el_eq_TWh,0.6613757079000259
167,2028-base,CZ,S,lig_ex,production_el_eq_TWh,2.721795303922174
168,2028-base,CZ,S,coal_ex,production_el_eq_TWh,1.0286628691704079e-17
169,2028-base,CZ,S,b_CHP,production_el_eq_TWh,1.1052887000712672e-19
170,2028-base,CZ,S,lig_bp,production_el_eq_TWh,0.3319526485835711
171,2028-base,CZ,S,coal_bp,production_el_eq_TWh,0.0
172,2028-base,CZ,S,eens,production_el_eq_TWh,0.0
173,2028-base,CZ,W,gas_chp,production_el_eq_TWh,2.70862120189284
174,2028-base,CZ,W,gas_eng_chp,production_el_eq_TWh,0.886516292100056
175,2028-base,CZ,W,lig_ex,production_el_eq_TWh,5.002422296077866
176,2028-base,CZ,W,coal_ex,production_el_eq_TWh,0.066806747345238
177,2028-base,CZ,W,b_CHP,production_el_eq_TWh,0.0
178,2028-base,CZ,W,lig_bp,production_el_eq_TWh,1.3423987114164442
179,2028-base,CZ,W,coal_bp,production_el_eq_TWh,0.0
180,2028-base,CZ,W,eens,production_el_eq_TWh,0.0
181,2028-base,CZ,Y,solar,production_used_TWh,7.234644523133391
182,2028-base,CZ,Y,onshore,production_used_TWh,0.9852849535555612
183,2028-base,CZ,S,solar,production_used_TWh,5.013249883736971
184,2028-base,CZ,S,onshore,production_used_TWh,0.3545065352482786
185,2028-base,CZ,W,solar,production_used_TWh,2.221394639396421
186,2028-base,CZ,W,onshore,production_used_TWh,0.6307784183072825
187,2028-base,CZ,Y,solar,production_excess_TWh,0.0003376409482567
188,2028-base,CZ,Y,onshore,production_excess_TWh,1.4269265425787136e-06
189,2028-base,CZ,S,solar,production_excess_TWh,0.0003376409482567
190,2028-base,CZ,S,onshore,production_excess_TWh,1.4269265425787136e-06
191,2028-base,CZ,W,solar,production_excess_TWh,0.0
192,2028-base,CZ,W,onshore,production_excess_TWh,0.0
